513586;-62657;45609
513630;-62676;45620
513696;-62734;45651
513740;-62773;45672
513831;-62853;45717
513879;-62894;45741
513949;-62955;45777
514023;-63018;45816
514051;-63041;45831
514174;-63146;45897
514250;-63211;45937
514276;-63233;45951
514305;-63259;45966
514439;-63373;46038
514488;-63414;46064
514601;-63511;46124
514651;-63554;46150
514786;-63669;46221
514838;-63714;46248
515041;-63891;46349
515165;-64000;46407
515227;-64056;46435
515259;-64085;46450
515294;-64115;46465
515381;-64193;46505
515440;-64245;46532
515619;-64405;46613
515680;-64459;46640
515887;-64644;46734
515950;-64701;46762
516097;-64832;46828
516162;-64890;46858
516337;-65045;46936
516404;-65105;46966
516667;-65339;47088
516827;-65479;47164
516907;-65550;47203
517029;-65655;47265
517111;-65726;47306
517236;-65835;47369
517364;-65945;47434
517450;-66019;47478
517579;-66131;47545
517623;-66169;47568
517872;-66383;47697
518054;-66539;47790
518146;-66619;47837
518286;-66740;47907
518381;-66823;47954
518524;-66949;48024
518670;-67077;48095
518769;-67163;48142
518919;-67295;48214
519071;-67428;48286
519173;-67519;48335
519329;-67656;48409
519434;-67748;48459
519593;-67888;48534
519754;-68030;48611
519862;-68125;48662
520026;-68270;48740
520192;-68416;48819
520303;-68514;48872
520472;-68662;48952
520585;-68762;49005
520756;-68913;49087
520929;-69065;49169
521104;-69219;49252
521221;-69323;49307
521399;-69479;49392
521578;-69637;49477
521699;-69744;49534
521881;-69905;49619
522065;-70068;49705
522188;-70177;49762
522375;-70342;49849
522561;-70508;49936
522685;-70618;49993
522870;-70782;50078
522993;-70891;50135
523177;-71054;50220
523359;-71216;50304
523480;-71323;50360
523661;-71484;50442
523780;-71591;50496
523960;-71751;50577
524138;-71910;50657
524256;-72015;50711
524432;-72173;50790
524547;-72276;50841
524715;-72426;50917
524879;-72572;50990
524985;-72667;51038
525140;-72806;51107
525241;-72896;51153
525392;-73031;51220
525541;-73165;51287
525641;-73253;51332
525789;-73386;51398
525887;-73474;51442
526083;-73649;51530
526180;-73736;51574
526325;-73866;51639
526419;-73951;51682
526557;-74074;51744
526691;-74194;51803
526777;-74271;51842
526903;-74384;51899
526985;-74458;51936
527107;-74567;51990
527227;-74675;52045
527307;-74746;52080
527426;-74853;52134
527465;-74888;52152
527646;-75050;52233
527809;-75196;52306
527925;-75300;52358
528001;-75368;52392
528115;-75470;52444
528228;-75571;52494
528303;-75638;52528
528414;-75738;52578
528488;-75805;52611
528598;-75903;52661
528708;-76001;52711
528780;-76065;52745
528888;-76161;52796
528995;-76255;52848
529066;-76316;52884
529171;-76407;52939
529274;-76495;52995
529343;-76553;53034
529450;-76637;53094
529537;-76692;53135
529666;-76772;53198
529709;-76799;53219
529751;-76825;53241
529940;-76942;53335
530015;-76988;53372
530224;-77114;53479
530398;-77217;53570
530521;-77288;53636
530603;-77334;53680
530725;-77401;53748
530847;-77466;53817
530968;-77527;53887
531010;-77548;53912
531247;-77659;54055
531407;-77727;54155
531527;-77774;54230
531647;-77818;54307
531768;-77858;54385
531848;-77884;54436
531971;-77922;54513
532094;-77960;54589
532177;-77984;54639
532302;-78019;54714
532387;-78042;54764
532514;-78076;54838
532643;-78110;54911
532730;-78132;54959
532862;-78165;55031
532951;-78186;55078
533131;-78227;55173
533176;-78237;55197
533360;-78275;55290
533453;-78293;55337
533595;-78318;55407
533690;-78333;55454
533982;-78361;55546
534222;-78373;55593
534589;-78390;55662
534839;-78400;55708
535355;-78416;55799
535613;-78422;55844
535932;-78429;55912
536250;-78434;55979
536572;-78436;56047
536681;-78436;56070
536790;-78437;56093
537470;-78439;56219
537982;-78440;56315
538358;-78440;56388
538605;-78440;56438
538885;-78438;56513
539145;-78436;56590
539408;-78432;56667
539673;-78426;56745
539851;-78421;56797
540118;-78412;56874
540391;-78401;56949
539009;-78392;56998
539214;-78377;57072
539350;-78365;57119
539552;-78346;57190
539686;-78332;57236
539953;-78300;57327
540088;-78282;57373
540280;-78254;57441
540354;-78236;57487
540465;-78207;57558
540578;-78177;57629
540653;-78157;57677
540767;-78126;57750
540806;-78116;57775
540994;-78063;57897
541160;-78015;58005
541280;-77978;58082
541397;-77941;58158
541518;-77902;58236
541641;-77860;58314
541768;-77815;58392
541897;-77768;58471
542028;-77718;58549
542147;-77665;58626
542253;-77610;58703
542325;-77572;58753
542434;-77512;58828
542544;-77449;58901
542655;-77383;58974
542767;-77315;59045
542881;-77245;59116
542996;-77172;59186
543112;-77097;59255
543191;-77045;59300
543310;-76966;59368
543351;-76939;59391
543560;-76795;59508
543717;-76671;59604
543830;-76583;59672
543944;-76492;59742
544021;-76431;59788
544139;-76337;59859
544219;-76273;59906
544341;-76176;59978
544423;-76110;60027
544548;-76009;60100
544633;-75941;60150
544762;-75837;60227
544893;-75731;60304
545027;-75624;60383
545118;-75551;60436
545255;-75441;60516
545393;-75329;60598
545487;-75253;60653
545629;-75139;60736
545773;-75022;60821
545920;-74905;60906
546068;-74785;60993
546219;-74664;61082
546371;-74541;61171
546526;-74416;61261
546682;-74290;61353
546840;-74162;61446
546999;-74034;61539
547156;-73907;61630
547311;-73782;61721
547463;-73659;61810
547563;-73578;61869
547710;-73460;61954
547849;-73348;62035
547979;-73243;62112
548062;-73176;62160
548182;-73079;62230
548224;-73045;62255
548414;-72892;62366
548565;-72770;62454
548633;-72715;62494
548733;-72635;62553
548831;-72556;62610
548926;-72478;62666
549020;-72403;62721
549082;-72353;62757
549173;-72280;62810
549263;-72207;62863
549353;-72135;62916
549442;-72062;62968
549532;-71990;63021
549621;-71919;63073
549710;-71847;63125
549799;-71775;63177
549887;-71703;63230
549946;-71655;63264
550035;-71583;63317
550094;-71535;63352
550183;-71464;63404
550271;-71392;63456
550360;-71320;63508
550419;-71272;63543
550507;-71200;63596
550596;-71129;63648
550685;-71057;63700
550773;-70985;63753
550862;-70913;63805
550950;-70842;63857
551039;-70770;63910
551127;-70698;63962
551216;-70626;64015
551304;-70555;64067
551393;-70483;64119
551452;-70435;64154
79;-70364;64207
168;-70292;64259
256;-70220;64312
345;-70149;64364
433;-70077;64417
521;-70005;64469
